"text","label"
"Wow. Yall needa step it up @Apple RT @heynyla: Music and snapchat at the same damn time. Thank you #Note4","negative"
"What Happened To Apple Inc?   http://t.co/FJEXI3oP0U  #aapl #apple @MoneyPress http://t.co/wXKmmTMArW","neutral"
"Thank u @apple I can now compile all of the pics that i communicate with in one place http://t.co/tq1lo09oyA","positive"
"http://t.co/CiZbVR05PJ""","neutral"
"@apple can i exchange my iphone for a different color lmao  i changed my mind","neutral"
"http://t.co/XTbFhpbYf7""","negative"
"Let's not forget that press effects stock @Apple to Defend Against iPod Antitrust Suit http://t.co/pqJ0bKIMb8","neutral"
"Apple Inc. Deleted Songs From Rival Services From iPods http://t.co/dQwDFpcc4x #AAPL","negative"
"@TeamCavuto @Apple They're staging a die in ar an Apple store while being on their iPhone.","neutral"
"http://t.co/EVrsNVdeXe""","negative"
"fuck you too @apple","negative"
"@Apple  you need to sort your phones out.","negative"
"@OneRepublic @Apple 45000 feet keep flying","neutral"
"@APPLE YOURE SHIT FIX MY PROBLEM","negative"
"Theyre not RT @Naivana_: You gotta be kidding me @apple http://t.co/GeeL25AlT1","negative"
"http://t.co/7Dq9vBdt3H""","neutral"
"Confirmed: Bose speakers returning to #Apple Stores after removal earlier this year - http://t.co/yXPyde3TvQ #AAPL #BeatsElectronics","neutral"
"@apple @iphone4 oh it's not fair and i think you're really mean","negative"
"Does @apple store in Georgetown sell refurb'd iPads? Or just new? Are refurbs only available online?","neutral"
"How is my battery already 83% within 15 minutes of usage. Fix up @apple","negative"
"@UberFacts i can think of 100 reasons not to if your on a 4s. Fuck @apple","negative"
"How long does it really take for a phone to ship @apple smh","negative"
"@brwnskin_beauti cause fuck @apple","negative"
"@lanadelreystan KILL YOURSELF @apple","negative"
"@THE_HIIT_COACH @weightsmate @Apple it's similar to an existing app (called cardio guru interestingly). Maybe Apple have noticed this?","neutral"
"@apple ur a disgrace","negative"
".@apple The iPad update to iOS 8 is an absolute disaster. Nothing works right anymore. Safari crashes constantly. #iFail","negative"
"Finally! Brooklyn Is Getting Its Own #Apple Store #aapl http://t.co/IpjMgjGQw5 http://t.co/Ow2BSRLbAx","positive"
"RT @SwiftKey: We're so excited to be named to @Apple's 'App Store Best of 2014' list this year! http://t.co/d7qlmti4Uf #Apple","positive"
"http://t.co/cDnZCthRlA""","neutral"
"@PCAudioLabs is in and @Apple is out at Emanon Records.  Apple was premium product. Now it is an average product with a premium price.","negative"
"Realised the reason @apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar","negative"
"@apple y'all shitty","negative"
"Finally updated to iOS 8...this happened ha weird glitch fix it please @apple http://t.co/LCoGg7yfEz","negative"
"RT @jopocop: TheStreet:  #Apple Gets Price Target Boost on Back of Strong #iPhone Demand #aapl  http://t.co/f2qTGIBDDq","neutral"
"How to Make #Apple Special Again #aapl http://t.co/EiAP7Kmelu","neutral"
"@swerviinnn @Apple clearly its a sign they doing u a favor","neutral"
"@apple #macos #yosemite is a buggy piece of shit. It makes me miss #windows8.","negative"
"I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored","negative"
"The hell does this mean @apple one day Skype won't let me login now I can't even open the app http://t.co/SegFVq5Mzx","negative"
"Tryng to get back on snapchat but the App Store isn't cooperating @apple","negative"
"@apple fucking let everyone name the group chats their own things please and thanks","negative"
"@dougluberts @Apple Is it the 128gb version?","neutral"
"@Apple your chargers SUCK","negative"
"The questions every #CIO should ask about @Apple #iWatch: http://t.co/1RSxT3CMlZ","neutral"
"RT @saigeist: the most offensive thing is the lack of a trashcan emoji stop the discrimination @apple","negative"
"@apple fuck you","negative"
"http://t.co/QTLiiXy1Ed""","negative"
"#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk","neutral"
"I'm not happy about that @apple","negative"
"@tehhGOAT @Apple do you by accident have me blocked or?","negative"
"Real tired of my charger breaking every month @Apple","negative"
"Is Apple The Most Important Stock On Earth?  http://t.co/YkyiwKnL5S #aapl http://t.co/eiAOHl8LL1","neutral"
"@Apple get your shit together I hate you","negative"
"#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..","negative"
"fucking faggots @apple","negative"
"#stocks""","neutral"
"honestly fuuuuccckkkk you @apple http://t.co/0aV4VreGUj","negative"
"@Apple Stop liking man.","negative"
"@SSComposer @Apple seems to ignore any key presses like command r and is just doing its own thing.","negative"
"http://t.co/9tLzXOlfzG""","neutral"
"#Google May Be the Big Winner in LAUSD's #IPad Scandal http://t.co/YVDioMcl4r via @BW #aapl","neutral"
"FUCK U @apple i just dropped my new IPHONE6  and it got all sctratched up ! IM DONE WITH APPLE SO FUCKING FRAGILE","negative"
"@britt_bumgarner @briannalengy I mean it didn't auto correct so who is really at fault here @apple","negative"
"fuck type of shit is this @Apple @autocorrect @Siri http://t.co/5zyb6SUepz","negative"
"Left the hoos we 100% now got 50 iPhones are dire @apple suck ur mum","negative"
"got me there""","neutral"
"5 Companies Growing Faster Than Apple Inc. http://t.co/QsoC8dir60 #AAPL","neutral"
"@apple #YosemiteProblems Erases my saved pass words every day. This is getting annoying.","negative"
"http://t.co/UCXw8zSRpZ #AAPL #Apple #Stocks #Record #News""","neutral"
"Can't believe @Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old. Asking for 鶯500 to repair.","negative"
"fuck you @apple","negative"
"I posted 9 photos on Facebook in the album 'WOW TALKS // PASSION FOR DESIGN // LONDON DESIGN FESTIVAL @APPLE' http://t.co/vgRlX9OCMT","neutral"
"How To Use #iOS8 Continuity | Know Your Mobile http://t.co/Bf2smNeBEe #aapl","neutral"
"@SwiftKey @Apple Oh In wish you guys would port hebrew from the android version already! I have swapping abck and forth","negative"
"http://t.co/hv7jiOO6S0""","positive"
"#AAPL providing another great entry point &lt; $115","positive"
"@lisapjackson any stats on use of @Apple's recycling program?","neutral"
"#AAPL:Corporate Earnings to Contract; Short Apple: Best of Kass...http://t.co/59VMgqR0tH","neutral"
"ayo @Apple I think u should create a 'video message' option so when @CarlaBarlaCakes doesn't answer my facetime I can leave her a VIDEO MAIL","neutral"
"The power of @Apple 's strong branding and store design in one photo http://t.co/CJObpVZeZk via @qz http://t.co/hD6P7hJhW8","neutral"
"Yo @Apple fix your shitty iMessage","negative"
"Why I Hate Apple - http://t.co/IbpyJXaOuW #AAPL #Long-Term_Larry","negative"
"Hey @apple are you even thinking about fixing your wifi issues? #YosemiteProblems","negative"
"@sharksbeauty @Apple LEMME get the blondes number","neutral"
"3 #Tech Stocks That Could Soar in 2015 | The Motley Fool #goog #aapl #fb http://t.co/6LcuT1XTzX","neutral"
"Apple Debuts New iPad Air 2 TV Ad 'Change' with New Website Section http://t.co/8q8satHa2S #AAPL","neutral"
"@jakeflem @Apple Some info for you: http://t.co/J79FnVB94e http://t.co/m3pclPVgGK http://t.co/J72WyhXxx1 Hope it helps. #PinkScreenOfDeath","neutral"
"http://t.co/YhwWoUBR3Q""","neutral"
"@ohaiigloria @hahahamark @apple explain yourselves","negative"
"RT @danielllebaker: Paid $20 for a new 5 charger and couldn't  b more pissed about it... this is rape @apple","negative"
"Yall need to fix this flicker/flash when I swipe up to close apps @Apple","negative"
"PRINCIPLED TRUTHS: Eddy Cue Talks to Fortune as Apple Appeals E-Book Price-Fixing Judgment. #AAPL http://t.co/Y7JDYN0mlR","neutral"
"@apple#ipad #irig  For the price to connect my guitar I could buy a real amp loud enough to perform! #ripoff","negative"
"@steviebuckley It's doing strange things to @dropbox files as well - create a new folder and it disappears etc.  @apple #yosemite #bugs","negative"
"#AAPL:12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday ...http://t.co/QSxQQPAg2q","neutral"
"@HlPSTALUKE @Apple one of you stepped on my phone last night and its smashed and doesnt work :)","negative"
"Just another reason to hate @Apple!!!!!!!!!!!","negative"
"http://t.co/5Ufd8p9qxs""","neutral"
"@OneRepublic @Apple How cool that you're working on new music. Can't wait to hear it. But you're working hard. You need rest. :)","positive"
"@Apple technology..is becoming very undesirable. These glitches are constantly stopping my from working","negative"
"#Apple dominates mobile online shopping at 78 percent in US #aapl http://t.co/1fqoPIhObO","positive"
"Can @Apple sTOP making their OS installations so damn bloody difficult STOP ASKING ME TO CLEAR SPACE FROM MY HARD DISK","negative"
"Jimmy Iovine to Apple: 'You Have a Hole in Music Right Now; Let Me Plug It' http://t.co/RwolD40zwI #AAPL","neutral"
"Anti-Discrimination Bill To Be Named After @Apple CEO @TimCook http://t.co/qEZlIPc8Z2 via @theinquisitr @LGBT #LGBT #Gayrights #Alabama","neutral"
"RT @all4incognito: HATE @APPLE SO MUCH. RUIN MY LIFE","negative"
"#AAPL""","neutral"
"RT @animaItoes: Why does my phone suck so much @apple","negative"
"YO YOU AINT SHIT @apple","negative"
"#Apple: Market Maker Price Range Forecast Update #AAPL http://t.co/lb0gspNI9j","neutral"
"#Apple planning to spend $161 million on its own auditorium at ... - http://t.co/eJU1Q6Qklb #AAPL #WWDC http://t.co/QYhVucuSyP","neutral"
"You'll Be Able To Learn How To Code For Free Next Week At Your Nearest @Apple Store!  http://t.co/8xHh2SLC4X","neutral"
"What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire","negative"
"10 best #SteveJobs #apple #aapl #tech30 http://t.co/FkrkG1iF7g via","neutral"
"@SamJam Agreed--have to give props to @Apple for battery life on new iPhones. It's SO good. #TL_Chat","positive"
"@apple I have been on hold for 30 minutes thank god I sold most of my stock is this comcast or apple?","negative"
"CNBCTV:  Bulls running with #GoPro &amp; #Apple #gpro #aapl  http://t.co/zNj09hU6jb","neutral"
"Apple Is Warming Up To Social Media: Apple is hiring a social media guru in L.A. Will @Apple finally tweet?Her... http://t.co/sB1FXAZ4j7","neutral"
"Ironic that we're at a PR event (#mp15) talking about companies that don't need more people talking about them (@google @apple @facebook)","neutral"
"How many iphone chargers do I need to go through? @Apple make charger durability a point in the new iPhone","negative"
"The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/nJKstb1rJf","neutral"
"http://t.co/vjOWVvDFx5""","neutral"
"'#Howto import objective-C code into bridging header file - @Apigee SDK for @Apple's Swift http://t.co/e3i1kKa7xX' http://t.co/dkoOxiEGRy","neutral"
"thanks @apple for making life complicated","negative"
"Bose products reportedly set to return to #Apple Store shelves as early as next week - http://t.co/fqnkD6rsDT #AAPL #JimmyIovine","neutral"
"#AAPL:Alabama Anti-Discrimination Bill To Be Named After Apple CEO Tim Cook...http://t.co/J6hGjmjBZD","neutral"
"http://t.co/x3lzm9bOoM""","neutral"
"My cat only chews @apple cords. Such an #AppleSnob.","neutral"
"Ur minute has been about 10 minutes @apple http://t.co/tInVuQNYAM","negative"
"How do I log into iCloud on my phone? Not the cut down mobile version. Argh! Anyone know? @apple","negative"
"fuck you fuck you so much i hate you @apple","negative"
"@leiahemilyy @Apple really???","neutral"
"Footage of the Apple-1 computer running. #ComputerHistory @apple @christiesinc http://t.co/nTGfnJWZ7G","neutral"
"Great service at @Apple #BethesdaRow thanks Jenna and Brandon!!!!!!!","positive"
"@apple please get yourself together! I need my products to work!","negative"
"@apple so thanks for being greedy assholes who force me to pay to get something THAT I ALREADY FUCKING PAID FOR WITH FINAL CUT PRO.","negative"
"Why #AAPL Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3","neutral"
"@BrandiGlanville""","negative"
"@NickM538 @Apple tell them how ya really feel","neutral"
"Oh @Apple this is horrible packaging and shipping. #shame http://t.co/JaRpJYJ5Zu","negative"
"@apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date. #fail #icloud #sucking","negative"
"RT @chemixcalbieber: '@WhoaBiebz: GET YOUR SHIT TOGETHER OR I'LL GUY A SAMSUNG GALAXY S5 @APPLE' http://t.co/LEHpmkxK0a","negative"
"@RedXPower @ChristmasCount yeah and don't make them into tablets @apple","neutral"
"@Maine_Nitin Good morning! Looks like I'll be hanging at the @Apple store with the students and snowbirds sometime this week.","neutral"
"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple","negative"
"CNBCTV:  #Apple arguably most innovative company in world: Pro #aapl http://t.co/xWVD3zCkHu","positive"
"#AAPL:Is it time to start buying Apple?...http://t.co/5nulnjlbaG","neutral"
"iTunes is pissing me tf off @apple","negative"
"http://t.co/afedrJ4EPr""","neutral"
"http://t.co/FD6FCM2HQB""","neutral"
"feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs","negative"
"please make a gold macbook @apple","neutral"
"@apple why doesn't your people explain precautions when buying an expensive laptop","negative"
"http://t.co/76R4rmUUNo""","neutral"
"Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets","neutral"
".@Apple is reportedly hiring fashion-focused staff for its physical stores http://t.co/ZoOnR3u5zV #FTDaily #FashionTech","neutral"
"The @Apple iWatch: Changing the face of watches http://t.co/EtfTAT5K7x #applenews #iwatch #gadgets","neutral"
"http://t.co/7xYurDyY7R""","neutral"
"@DustynMichael got enough @apple  products? http://t.co/nts3ebIxAL","neutral"
"@apple why can't i fnd netbot on app store !? help ASAP","negative"
"@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame","negative"
"Apple makes bad chargers. The @apple genius said wrap it in electrical tape. I wonder what Jony Ive thinks of that. http://t.co/HvxSJUt39p","negative"
"RT @paisley_smithh: Real tired of my charger breaking every month @Apple","negative"
"my dad called now my musics arent playing jesus christ @apple problematic","negative"
"@l0lvivivuvu @sextsatan @Apple And replied... #livingthedream ~ARI","neutral"
"@apple why is it that your iPhone's alarm fails to work sometimes?? I missed 3 bonus points from a class because of this. Sooooo annoyed","negative"
"It would be nice if I could type more than one sentence without my computer freezing up @Apple @Microsoft @Word @Internet @Everyone","negative"
"http://t.co/IrZI8Q8F9r""","neutral"
"https://t.co/8CBUgrEHZS""","neutral"
"#futures #forex #trader #es #aapl #gpro #eSignal http://t.co/bFnkHl3EYx""","neutral"
"you just did too much you asshole. @apple get your shit together.","negative"
"RT @ehsonakbary: THE WORLD'S FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION @Apple http://t.co/Rz8es3q3fj","negative"
"http://t.co/oErygGHnsc""","neutral"
"RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/v2GViV6qnh","neutral"
"@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective","negative"
"RT @RaviMikkelsen: @HRHound @MandoGallegos Nice! If the actor had on an iWatch he'd have the entire suite of @Apple products. #sponsorDeal","neutral"
"That moment EVERYTIME when walk out of @Apple after purchase &amp; receipt is emailed &amp; think getting stopped or not #MiniHeartAttack @tim_cook","neutral"
"FUCK YOU @apple FOR MAKING SHIT PRODUCTS","negative"
"Pop up #BostonHoliday - #UrbanNutcracker's @RussellFerg &amp; #krumpers are @Apple Store in Boylston St. @5:30pm today. Dancing &amp; chat'","neutral"
"@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame","negative"
"@OneRepublic @Apple HOW THEY LOOK THIS IS SO CUTE","positive"
"I don't undestand how @SYFNews #CreditCare website doesn't work on @Apple prod-Had to request paper bills #WhatYearIsIt #poorcustomerservice","negative"
"Dear @apple replace my phone my battery sucks","negative"
"http://t.co/5ABnwWVQxh""","neutral"
"@Nale When do you think #parable will be accessible in France @Apple #AppStore","neutral"
"RT @yungbaaz: god dammit fuck you @apple","negative"
"#AAPL MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes http://t.co/xCYyyJtK05","neutral"
"@Apple fix addis' phone so we can text each other pls and thx","negative"
"@Siri @Apple @SteveJobs @alarmthatdidntgooff this is disrespectful","negative"
"RT @Amdocs: Top #iOS apps of 2014. @Apple names Elevate Brain Training as #1 iPhone app. http://t.co/tyRNmYGnDP","neutral"
"@AppStore @apple When is the release for the new #infiniteflight update in the appstore? @flyingdevstudio says the Update is in your hands","neutral"
"http://t.co/jjvkpoa01X""","neutral"
"Protesters in the @Apple store pretty much sums it up. Its like a gravitational pull. Shocked it took this long. Next stop? STARBUCKS!!","negative"
"At the Genius Bar@apple store.  Very helpful #AAPL staff and whoever helped me was genius. Comp wking again. http://t.co/GBPQdl8eCN","positive"
"I hate my MacBook now. Fuck this update and fuck you @apple","negative"
"@Apple conclusion : Best client service ever","positive"
"My phone just charged 23% in 45 seconds thanks @Apple","positive"
"@apple please stop notifying me to 'upgrade iCloud storage' because I do not use iCloud enough to upgrade it nor would I pay for such things","negative"
"@Apple recruiting luxury executives for iwatch. I'll make it easy for them: just get celebrities to wear them.","neutral"
