Category: All categories

Day,TD Bank: (United States),PNC Financial Services: (United States),Citizens Financial Group: (United States),U.S. Bancorp: (United States),Truist: (United States)
2025-11-09,35,46,16,50,28
2025-11-10,51,84,29,74,53
2025-11-11,52,81,29,79,31
2025-11-12,51,83,29,78,29
2025-11-13,49,87,30,79,30
2025-11-14,51,93,29,82,31
2025-11-15,45,70,26,70,21
2025-11-16,34,48,16,49,15
2025-11-17,47,84,27,73,27
2025-11-18,45,79,29,77,33
2025-11-19,50,85,29,81,36
2025-11-20,48,85,28,75,31
2025-11-21,47,91,29,78,31
2025-11-22,45,68,23,65,25
2025-11-23,33,44,16,46,20
2025-11-24,49,85,28,78,36
2025-11-25,50,91,32,81,37
2025-11-26,56,90,31,86,39
2025-11-27,28,41,14,48,14
2025-11-28,52,84,29,74,24
2025-11-29,43,68,23,62,25
2025-11-30,36,51,18,47,20
2025-12-01,57,100,34,90,43
2025-12-02,52,91,32,80,40
2025-12-03,52,95,32,81,38
2025-12-04,48,91,32,78,40
2025-12-05,51,92,30,80,40
2025-12-06,49,75,26,63,31
2025-12-07,34,48,16,45,18
