Category: All categories

Region,TD Bank: (11/9/25 - 12/7/25),PNC Financial Services: (11/9/25 - 12/7/25),Citizens Financial Group: (11/9/25 - 12/7/25),U.S. Bancorp: (11/9/25 - 12/7/25),Truist: (11/9/25 - 12/7/25)
New Hampshire,57%,2%,38%,3%,<1%
New Jersey,54%,33%,8%,3%,2%
Maine,79%,4%,8%,9%,<1%
Vermont,56%,2%,32%,10%,<1%
Delaware,25%,51%,16%,4%,4%
Connecticut,61%,5%,23%,9%,2%
New York,58%,9%,20%,10%,3%
Massachusetts,41%,5%,46%,7%,1%
Pennsylvania,16%,55%,19%,3%,7%
Rhode Island,15%,2%,79%,3%,1%
South Carolina,34%,15%,3%,9%,39%
Florida,29%,29%,4%,10%,28%
District of Columbia,18%,45%,3%,13%,21%
Maryland,10%,53%,3%,8%,26%
Virginia,10%,26%,3%,11%,50%
North Carolina,7%,33%,2%,10%,48%
Georgia,4%,26%,3%,14%,53%
Arizona,5%,33%,3%,57%,2%
Nevada,4%,10%,2%,82%,2%
Illinois,2%,46%,2%,48%,2%
Texas,5%,56%,4%,24%,11%
Michigan,2%,60%,22%,15%,1%
Tennessee,3%,12%,5%,43%,37%
Washington,4%,8%,1%,85%,2%
Alabama,2%,68%,3%,9%,18%
California,4%,12%,2%,80%,2%
Ohio,1%,57%,13%,28%,1%
Louisiana,8%,27%,11%,44%,10%
Colorado,2%,21%,2%,73%,2%
Mississippi,6%,21%,20%,36%,17%
Kansas,4%,11%,4%,78%,3%
Oklahoma,7%,21%,12%,53%,7%
Indiana,2%,69%,4%,22%,3%
Kentucky,1%,50%,3%,34%,12%
Utah,4%,15%,5%,75%,1%
Minnesota,1%,4%,2%,92%,1%
Oregon,1%,5%,1%,92%,1%
Missouri,1%,18%,2%,78%,1%
Hawaii,7%,19%,3%,67%,4%
West Virginia,1%,26%,6%,12%,55%
Wisconsin,1%,20%,4%,74%,1%
North Dakota,2%,3%,1%,94%,<1%
Alaska,8%,17%,5%,67%,3%
New Mexico,1%,27%,11%,60%,1%
Montana,1%,3%,2%,93%,1%
Arkansas,1%,13%,12%,69%,5%
Nebraska,1%,6%,5%,86%,2%
Iowa,1%,7%,3%,87%,2%
Wyoming,1%,5%,2%,91%,1%
South Dakota,1%,3%,2%,93%,1%
Idaho,<1%,6%,1%,93%,<1%
