Category: All categories

Day,TD Bank: (United States),Chase Bank: (United States),Capital One: (United States),Citibank: (United States),Bank of America: (United States)
2025-11-09,8,65,41,18,37
2025-11-10,11,90,54,25,56
2025-11-11,11,91,52,24,57
2025-11-12,11,91,53,25,57
2025-11-13,11,93,57,26,56
2025-11-14,11,92,57,27,59
2025-11-15,10,83,47,23,50
2025-11-16,8,62,41,20,33
2025-11-17,10,85,52,25,54
2025-11-18,10,82,51,24,53
2025-11-19,11,85,51,25,55
2025-11-20,11,83,52,26,52
2025-11-21,10,89,46,25,52
2025-11-22,10,75,42,22,46
2025-11-23,7,56,37,18,30
2025-11-24,11,84,51,25,52
2025-11-25,11,87,53,27,56
2025-11-26,12,92,52,26,55
2025-11-27,6,55,37,17,33
2025-11-28,11,87,53,22,53
2025-11-29,9,74,47,21,43
2025-11-30,8,65,45,20,36
2025-12-01,13,100,63,30,64
2025-12-02,11,96,60,29,62
2025-12-03,12,90,57,31,62
2025-12-04,11,91,57,27,57
2025-12-05,11,89,53,26,62
2025-12-06,11,76,47,23,50
2025-12-07,8,58,42,18,35
