Category: All categories

Region,TD Bank: (11/9/25 - 12/7/25),Chase Bank: (11/9/25 - 12/7/25),Capital One: (11/9/25 - 12/7/25),Citibank: (11/9/25 - 12/7/25),Bank of America: (11/9/25 - 12/7/25)
New Hampshire,31%,21%,20%,7%,21%
New Jersey,21%,31%,18%,8%,22%
Maine,26%,23%,24%,9%,18%
Vermont,24%,27%,24%,12%,13%
Delaware,16%,27%,26%,11%,20%
Connecticut,14%,27%,21%,10%,28%
New York,10%,40%,19%,13%,18%
Massachusetts,12%,26%,20%,8%,34%
Pennsylvania,12%,32%,29%,11%,16%
Rhode Island,8%,27%,21%,7%,37%
South Carolina,10%,24%,24%,10%,32%
Florida,6%,35%,20%,10%,29%
District of Columbia,4%,30%,32%,11%,23%
Maryland,3%,24%,34%,10%,29%
Virginia,2%,25%,37%,10%,26%
North Carolina,2%,28%,26%,11%,33%
Georgia,1%,31%,26%,9%,33%
Arizona,<1%,48%,18%,10%,24%
Nevada,<1%,38%,23%,11%,28%
Illinois,<1%,51%,20%,12%,17%
Texas,<1%,42%,24%,10%,24%
Michigan,<1%,47%,23%,11%,19%
Tennessee,1%,32%,28%,12%,27%
Washington,<1%,40%,18%,12%,30%
Alabama,1%,35%,37%,13%,14%
California,<1%,42%,16%,13%,29%
Ohio,<1%,51%,27%,10%,12%
Louisiana,<1%,41%,46%,6%,7%
Colorado,<1%,49%,28%,10%,13%
Kansas,<1%,31%,30%,12%,27%
Mississippi,1%,31%,42%,11%,15%
Oklahoma,<1%,39%,29%,11%,21%
Indiana,<1%,53%,25%,10%,12%
Kentucky,<1%,44%,32%,12%,12%
Utah,<1%,46%,25%,15%,14%
Minnesota,<1%,33%,37%,15%,15%
Oregon,<1%,40%,22%,12%,26%
Missouri,<1%,31%,29%,12%,28%
Hawaii,<1%,39%,25%,20%,16%
West Virginia,<1%,43%,35%,10%,12%
Wisconsin,<1%,45%,30%,14%,11%
North Dakota,<1%,34%,35%,17%,14%
Alaska,<1%,19%,21%,12%,48%
New Mexico,<1%,32%,26%,13%,29%
Montana,<1%,32%,32%,18%,18%
Arkansas,<1%,29%,34%,12%,25%
Nebraska,<1%,36%,36%,15%,13%
Iowa,<1%,34%,34%,16%,16%
Wyoming,<1%,37%,33%,12%,18%
South Dakota,<1%,33%,38%,17%,12%
Idaho,<1%,40%,27%,16%,17%
