Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/05/25,Credit reporting or other personal consumer reports,Other personal consumer report,Improper use of your report,Reporting company used your report improperly,,None,TD BANK US HOLDING COMPANY,FL,33837,None,Consent not provided,Web,10/05/25,Closed with explanation,Yes,N/A,16372997
11/18/25,Mortgage,Conventional home mortgage,Struggling to pay mortgage,"Applying for or obtaining a modification, forbearance plan, short sale, or deed-in-lieu",,None,TD BANK US HOLDING COMPANY,NC,279XX,None,None,Web,11/18/25,In progress,Yes,N/A,17334417
11/17/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,CA,94124,None,None,Web,11/17/25,Closed with explanation,Yes,N/A,17311685
11/09/25,Debt collection,I do not know,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,,None,TD BANK US HOLDING COMPANY,MD,21001,None,None,Web,11/09/25,In progress,Yes,N/A,17121843
10/29/25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,,None,TD BANK US HOLDING COMPANY,FL,33131,None,None,Web,10/29/25,Closed with explanation,Yes,N/A,16859678
10/13/25,Checking or savings account,Checking account,Managing an account,Banking errors,,None,TD BANK US HOLDING COMPANY,SC,29316,None,None,Web,10/13/25,Closed with explanation,Yes,N/A,16544268
10/27/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,,None,TD BANK US HOLDING COMPANY,MI,48197,None,None,Web,10/27/25,Closed with explanation,Yes,N/A,16849177
10/07/25,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,,None,TD BANK US HOLDING COMPANY,NY,11361,None,Consent not provided,Web,10/07/25,Closed with explanation,Yes,N/A,16423477
10/07/25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,None,TD BANK US HOLDING COMPANY,TX,782XX,Servicemember,None,Web,10/07/25,Closed with explanation,Yes,N/A,16418671
10/17/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,NJ,07419,None,None,Web,10/17/25,In progress,Yes,N/A,16660756
10/09/25,Credit card,Store credit card,Fees or interest,Charged too much interest,,None,TD BANK US HOLDING COMPANY,CA,91203,None,Other,Web,10/09/25,Closed with explanation,Yes,N/A,16476302
11/05/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,FL,32828,None,None,Web,11/05/25,Closed with monetary relief,Yes,N/A,17004921
10/11/25,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,,None,TD BANK US HOLDING COMPANY,FL,33990,Older American,None,Web,10/11/25,In progress,Yes,N/A,16524189
10/17/25,Debt collection,Credit card debt,False statements or representation,Attempted to collect wrong amount,,None,TD BANK US HOLDING COMPANY,NY,14031,None,None,Web,10/17/25,Closed with explanation,Yes,N/A,16643334
10/22/25,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,,None,TD BANK US HOLDING COMPANY,WI,53219,None,None,Web,10/22/25,Closed with monetary relief,Yes,N/A,16749987
