date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Alaska,0,0,0,100,0,25.0,0.0
South Dakota,0,0,8,92,0,25.0,0.0
North Dakota,0,6,0,94,0,25.0,0.0
Montana,0,7,4,84,5,25.0,0.0
Idaho,0,4,2,94,0,25.0,0.0
Wyoming,0,10,0,90,0,25.0,0.0
Ohio,1,57,12,28,2,24.75,4.040404040404041
Missouri,1,18,2,76,3,24.75,4.040404040404041
Kentucky,1,45,3,31,20,24.75,4.040404040404041
Minnesota,1,4,2,92,1,24.75,4.040404040404041
Pennsylvania,16,52,20,3,9,21.0,76.19047619047619
Rhode Island,16,3,78,2,1,21.0,76.19047619047619
Hawaii,16,15,7,54,8,21.0,76.19047619047619
District of Columbia,17,37,4,12,30,20.75,81.92771084337349
West Virginia,2,18,4,8,68,24.5,8.16326530612245
Alabama,2,60,3,8,27,24.5,8.16326530612245
Oregon,2,5,2,90,1,24.5,8.16326530612245
Wisconsin,2,21,4,70,3,24.5,8.16326530612245
Nebraska,2,6,4,86,2,24.5,8.16326530612245
Florida,24,24,3,7,42,19.0,126.3157894736842
Delaware,25,52,16,3,4,18.75,133.33333333333331
South Carolina,26,13,2,7,52,18.5,140.54054054054055
Georgia,3,18,2,11,66,24.25,12.371134020618557
Michigan,3,60,22,12,3,24.25,12.371134020618557
Colorado,3,23,2,69,3,24.25,12.371134020618557
Illinois,3,44,2,48,3,24.25,12.371134020618557
Tennessee,3,12,5,34,46,24.25,12.371134020618557
Indiana,3,69,5,19,4,24.25,12.371134020618557
Iowa,3,6,3,85,3,24.25,12.371134020618557
Kansas,3,14,4,74,5,24.25,12.371134020618557
Massachusetts,39,5,49,5,2,15.25,255.73770491803282
Washington,4,8,1,84,3,24.0,16.666666666666664
New Mexico,4,27,10,55,4,24.0,16.666666666666664
California,4,10,3,80,3,24.0,16.666666666666664
Arkansas,4,14,13,61,8,24.0,16.666666666666664
Utah,4,14,3,74,5,24.0,16.666666666666664
Nevada,5,10,2,80,3,23.75,21.052631578947366
Arizona,5,35,3,53,4,23.75,21.052631578947366
Texas,5,56,4,20,15,23.75,21.052631578947366
New Jersey,55,32,7,3,3,11.25,488.8888888888889
New Hampshire,55,2,39,3,1,11.25,488.8888888888889
Connecticut,56,7,26,8,3,11.0,509.09090909090907
Vermont,57,4,28,9,2,10.75,530.2325581395348
New York,57,9,21,9,4,10.75,530.2325581395348
North Carolina,6,26,1,7,60,23.5,25.53191489361702
Mississippi,6,19,16,33,26,23.5,25.53191489361702
Oklahoma,7,23,12,47,11,23.25,30.107526881720432
Maine,76,4,10,7,3,6.0,1266.6666666666665
Maryland,8,47,3,7,35,23.0,34.78260869565217
Virginia,8,17,3,8,64,23.0,34.78260869565217
Louisiana,8,28,11,40,13,23.0,34.78260869565217
