date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Montana,1,7,1,90,1,24.75,4.040404040404041
Ohio,1,56,13,28,2,24.75,4.040404040404041
Missouri,1,19,2,75,3,24.75,4.040404040404041
Minnesota,1,4,2,91,2,24.75,4.040404040404041
South Dakota,1,2,7,89,1,24.75,4.040404040404041
North Dakota,1,2,0,92,5,24.75,4.040404040404041
Wyoming,1,15,0,82,2,24.75,4.040404040404041
Pennsylvania,15,54,19,3,9,21.25,70.58823529411765
District of Columbia,15,37,6,11,31,21.25,70.58823529411765
Rhode Island,17,2,77,3,1,20.75,81.92771084337349
Hawaii,19,23,2,54,2,20.25,93.82716049382715
Illinois,2,47,2,46,3,24.5,8.16326530612245
Oregon,2,4,2,90,2,24.5,8.16326530612245
Alabama,2,63,3,7,25,24.5,8.16326530612245
Wisconsin,2,22,3,71,2,24.5,8.16326530612245
West Virginia,2,19,4,8,67,24.5,8.16326530612245
Tennessee,2,11,5,35,47,24.5,8.16326530612245
Indiana,2,67,5,20,6,24.5,8.16326530612245
Florida,23,24,3,8,42,19.25,119.48051948051948
Delaware,24,53,15,4,4,19.0,126.3157894736842
South Carolina,28,13,2,7,50,18.0,155.55555555555557
New Mexico,3,29,10,54,4,24.25,12.371134020618557
Arkansas,3,13,12,63,9,24.25,12.371134020618557
Georgia,3,19,2,11,65,24.25,12.371134020618557
Colorado,3,22,2,70,3,24.25,12.371134020618557
Michigan,3,60,23,12,2,24.25,12.371134020618557
Nevada,3,9,3,82,3,24.25,12.371134020618557
Iowa,3,6,3,84,4,24.25,12.371134020618557
Kansas,3,14,4,73,6,24.25,12.371134020618557
Nebraska,3,6,5,86,0,24.25,12.371134020618557
Massachusetts,39,5,50,5,1,15.25,255.73770491803282
California,4,11,2,80,3,24.0,16.666666666666664
Utah,4,13,4,74,5,24.0,16.666666666666664
Washington,5,9,1,82,3,23.75,21.052631578947366
Alaska,5,6,1,85,3,23.75,21.052631578947366
Arizona,5,36,2,53,4,23.75,21.052631578947366
Texas,5,56,3,19,17,23.75,21.052631578947366
New Jersey,54,33,7,3,3,11.5,469.5652173913044
New Hampshire,55,2,39,3,1,11.25,488.8888888888889
New York,58,8,21,9,4,10.5,552.3809523809524
Connecticut,59,6,24,9,2,10.25,575.609756097561
Vermont,59,4,30,7,0,10.25,575.609756097561
North Carolina,6,23,1,7,63,23.5,25.53191489361702
Oklahoma,6,20,14,49,11,23.5,25.53191489361702
Mississippi,6,22,16,30,26,23.5,25.53191489361702
Virginia,7,19,3,7,64,23.25,30.107526881720432
Maine,77,5,10,5,3,5.75,1339.1304347826087
Louisiana,8,26,13,39,14,23.0,34.78260869565217
Maryland,9,48,2,7,34,22.75,39.56043956043956
Kentucky,0,46,3,33,18,25.0,0.0
Idaho,0,5,0,92,3,25.0,0.0
