string_field_0,string_field_1,string_field_2,string_field_3,string_field_4,string_field_5
Category: All categories,,,,,
,,,,,
Wyoming,,40%,33%,12%,15%
Alaska,,21%,20%,13%,46%
South Dakota,,34%,37%,15%,14%
North Dakota,,30%,40%,16%,14%
Montana,,31%,32%,18%,19%
West Virginia,1%,42%,35%,10%,12%
Mississippi,1%,33%,40%,11%,15%
Iowa,1%,33%,34%,14%,18%
Alabama,1%,34%,35%,14%,16%
Hawaii,1%,41%,23%,19%,16%
Georgia,1%,30%,25%,9%,35%
Tennessee,1%,33%,29%,9%,28%
New York,10%,41%,19%,13%,17%
South Carolina,10%,24%,24%,9%,33%
Connecticut,12%,29%,18%,9%,32%
Pennsylvania,13%,30%,29%,12%,16%
Massachusetts,13%,24%,20%,7%,36%
Delaware,16%,26%,27%,11%,20%
New Jersey,23%,30%,16%,8%,23%
Vermont,24%,27%,24%,11%,14%
Maine,25%,23%,23%,8%,21%
North Carolina,3%,26%,24%,11%,36%
Maryland,3%,23%,34%,9%,31%
Virginia,3%,26%,36%,9%,26%
New Hampshire,30%,22%,19%,7%,22%
District of Columbia,4%,29%,32%,13%,22%
Florida,6%,37%,18%,9%,30%
Rhode Island,9%,26%,20%,8%,37%
Nevada,<1%,39%,20%,10%,31%
Colorado,<1%,52%,25%,10%,13%
Ohio,<1%,52%,27%,10%,11%
Washington,<1%,40%,17%,11%,32%
Illinois,<1%,51%,20%,11%,18%
Missouri,<1%,31%,28%,11%,30%
Kentucky,<1%,46%,29%,11%,14%
New Mexico,<1%,32%,26%,12%,30%
Oregon,<1%,43%,18%,12%,27%
Kansas,<1%,30%,29%,12%,29%
Oklahoma,<1%,39%,26%,12%,23%
California,<1%,43%,15%,13%,29%
Arkansas,<1%,29%,32%,13%,26%
Wisconsin,<1%,46%,30%,13%,11%
Nebraska,<1%,36%,36%,14%,14%
Utah,<1%,47%,24%,15%,14%
Minnesota,<1%,35%,34%,15%,16%
Idaho,<1%,41%,26%,16%,17%
Louisiana,<1%,41%,47%,6%,6%
Arizona,<1%,48%,17%,9%,26%
Michigan,<1%,47%,23%,9%,21%
Texas,<1%,42%,24%,9%,25%
Indiana,<1%,55%,25%,9%,11%
Region,TD Bank: (9/20/25 - 10/20/25),Chase Bank: (9/20/25 - 10/20/25),Capital One: (9/20/25 - 10/20/25),Citibank: (9/20/25 - 10/20/25),Bank of America: (9/20/25 - 10/20/25)
