date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Connecticut,14,27,18,10,31,21.5,65.11627906976744
Florida,6,34,19,10,31,23.5,25.53191489361702
North Carolina,3,27,25,10,35,24.25,12.371134020618557
West Virginia,1,43,34,10,12,24.75,4.040404040404041
Washington,0,40,18,10,32,25.0,0.0
Michigan,0,47,23,10,20,25.0,0.0
Colorado,0,51,26,10,13,25.0,0.0
Tennessee,1,33,28,10,28,24.75,4.040404040404041
Ohio,0,53,27,10,10,25.0,0.0
Mississippi,1,32,42,10,15,24.75,4.040404040404041
Vermont,24,27,24,11,14,19.0,126.3157894736842
Delaware,15,25,28,11,21,21.25,70.58823529411765
Pennsylvania,13,30,28,11,18,21.75,59.77011494252874
Nevada,0,38,21,11,30,25.0,0.0
Kansas,0,31,29,11,29,25.0,0.0
New Mexico,0,34,26,11,29,25.0,0.0
District of Columbia,4,30,32,12,22,24.0,16.666666666666664
Illinois,0,50,20,12,18,25.0,0.0
Oregon,0,43,20,12,25,25.0,0.0
Missouri,0,31,27,12,30,25.0,0.0
Arkansas,0,29,33,12,26,25.0,0.0
Kentucky,0,45,30,12,13,25.0,0.0
Oklahoma,0,38,27,12,23,25.0,0.0
New York,10,42,18,13,17,22.5,44.44444444444444
California,0,42,16,13,29,25.0,0.0
Alabama,1,35,36,13,15,24.75,4.040404040404041
Wisconsin,0,46,30,13,11,25.0,0.0
Alaska,0,21,20,13,46,25.0,0.0
Wyoming,0,38,34,13,15,25.0,0.0
Iowa,1,33,34,14,18,24.75,4.040404040404041
Nebraska,1,36,36,14,13,24.75,4.040404040404041
Utah,0,46,26,14,14,25.0,0.0
Minnesota,0,33,35,15,17,25.0,0.0
South Dakota,0,33,38,15,14,25.0,0.0
North Dakota,0,31,38,16,15,25.0,0.0
Idaho,0,41,26,16,17,25.0,0.0
Montana,0,31,33,17,19,25.0,0.0
Hawaii,1,41,24,18,16,24.75,4.040404040404041
Louisiana,0,41,46,6,7,25.0,0.0
New Hampshire,32,20,20,7,21,17.0,188.23529411764704
Massachusetts,13,24,20,7,36,21.75,59.77011494252874
New Jersey,22,32,17,8,21,19.5,112.82051282051282
Maine,26,23,22,8,21,18.5,140.54054054054055
Rhode Island,10,25,20,8,37,22.5,44.44444444444444
South Carolina,11,23,23,9,34,22.25,49.43820224719101
Maryland,3,24,34,9,30,24.25,12.371134020618557
Virginia,3,26,36,9,26,24.25,12.371134020618557
Georgia,1,30,27,9,33,24.75,4.040404040404041
Arizona,0,48,17,9,26,25.0,0.0
Texas,0,43,23,9,25,25.0,0.0
Indiana,0,55,24,9,12,25.0,0.0
