date,TD Bank,Chase Bank,Capital One Bank,Bank of America,Citibank,Other Average,State Average
Wyoming,0,38,35,11,16,25.0,0.0
Alaska,0,22,20,12,46,25.0,0.0
North Dakota,0,31,39,14,16,25.0,0.0
South Dakota,0,33,38,15,14,25.0,0.0
Idaho,0,40,27,16,17,25.0,0.0
Montana,0,32,32,17,19,25.0,0.0
Tennessee,1,30,30,10,29,24.75,4.040404040404041
Mississippi,1,33,40,11,15,24.75,4.040404040404041
Arkansas,1,28,33,12,26,24.75,4.040404040404041
Iowa,1,33,33,14,19,24.75,4.040404040404041
Alabama,1,34,35,14,16,24.75,4.040404040404041
Hawaii,1,39,23,20,17,24.75,4.040404040404041
Georgia,1,30,26,9,34,24.75,4.040404040404041
Michigan,1,48,22,9,20,24.75,4.040404040404041
West Virginia,1,43,35,9,12,24.75,4.040404040404041
Indiana,1,54,25,9,11,24.75,4.040404040404041
South Carolina,10,23,23,9,35,22.5,44.44444444444444
Pennsylvania,13,30,28,11,18,21.75,59.77011494252874
Massachusetts,13,23,19,7,38,21.75,59.77011494252874
Connecticut,13,28,19,9,31,21.75,59.77011494252874
Delaware,16,26,27,11,20,21.0,76.19047619047619
New Jersey,22,30,17,8,23,19.5,112.82051282051282
Vermont,24,27,23,11,15,19.0,126.3157894736842
Maine,26,23,22,8,21,18.5,140.54054054054055
Virginia,3,23,38,10,26,24.25,12.371134020618557
North Carolina,3,26,23,11,37,24.25,12.371134020618557
Maryland,3,25,33,9,30,24.25,12.371134020618557
New Hampshire,30,22,19,7,22,17.5,171.42857142857142
District of Columbia,4,29,32,13,22,24.0,16.666666666666664
Florida,6,36,18,10,30,23.5,25.53191489361702
New York,9,41,19,14,17,22.75,39.56043956043956
Rhode Island,9,26,19,8,38,22.75,39.56043956043956
Washington,0,40,18,10,32,25.0,0.0
Nevada,0,38,20,11,31,25.0,0.0
Colorado,0,47,28,11,14,25.0,0.0
Illinois,0,52,19,11,18,25.0,0.0
Oklahoma,0,40,26,11,23,25.0,0.0
Missouri,0,32,28,11,29,25.0,0.0
Kentucky,0,45,29,11,15,25.0,0.0
Oregon,0,44,18,12,26,25.0,0.0
Kansas,0,30,29,12,29,25.0,0.0
New Mexico,0,31,26,13,30,25.0,0.0
Wisconsin,0,46,30,13,11,25.0,0.0
California,0,43,16,14,27,25.0,0.0
Nebraska,0,37,34,14,15,25.0,0.0
Minnesota,0,35,35,14,16,25.0,0.0
Utah,0,48,23,15,14,25.0,0.0
Louisiana,0,41,47,6,6,25.0,0.0
Arizona,0,48,19,8,25,25.0,0.0
Texas,0,43,23,9,25,25.0,0.0
Ohio,0,52,28,9,11,25.0,0.0
