Category: All categories

Region,TD Bank: (9/28/25 - 10/26/25),Chase Bank: (9/28/25 - 10/26/25),Capital One: (9/28/25 - 10/26/25),Citibank: (9/28/25 - 10/26/25),Bank of America: (9/28/25 - 10/26/25)
New Jersey,21%,31%,17%,8%,23%
New Hampshire,31%,21%,19%,7%,22%
Maine,26%,24%,22%,8%,20%
Vermont,24%,28%,23%,11%,14%
Delaware,16%,26%,27%,11%,20%
New York,9%,42%,19%,13%,17%
Massachusetts,12%,29%,18%,6%,35%
Connecticut,12%,29%,19%,10%,30%
Pennsylvania,13%,29%,28%,12%,18%
Rhode Island,9%,27%,20%,8%,36%
South Carolina,11%,23%,25%,9%,32%
Florida,6%,34%,19%,10%,31%
District of Columbia,4%,29%,32%,13%,22%
Maryland,3%,25%,34%,8%,30%
Virginia,2%,26%,36%,9%,27%
North Carolina,3%,25%,26%,10%,36%
Wyoming,2%,38%,32%,13%,15%
Georgia,1%,30%,26%,8%,35%
Washington,<1%,41%,18%,10%,31%
Nevada,<1%,39%,20%,11%,30%
Hawaii,1%,40%,22%,20%,17%
Arizona,<1%,49%,16%,9%,26%
Texas,<1%,42%,23%,9%,26%
Iowa,1%,33%,34%,14%,18%
Michigan,<1%,50%,21%,9%,20%
South Dakota,1%,31%,38%,14%,16%
New Mexico,<1%,33%,26%,12%,29%
Alabama,1%,33%,35%,14%,17%
Indiana,1%,55%,24%,9%,11%
Arkansas,1%,30%,31%,12%,26%
Nebraska,1%,35%,36%,14%,14%
Illinois,<1%,51%,18%,12%,19%
Louisiana,<1%,42%,46%,5%,7%
Ohio,<1%,53%,27%,9%,11%
Tennessee,<1%,33%,27%,10%,30%
Oregon,<1%,45%,18%,12%,25%
Colorado,<1%,49%,28%,10%,13%
California,<1%,42%,16%,13%,29%
Kansas,<1%,31%,29%,11%,29%
West Virginia,1%,45%,32%,10%,12%
Missouri,<1%,32%,28%,10%,30%
Mississippi,<1%,33%,42%,10%,15%
Minnesota,<1%,33%,36%,15%,16%
Oklahoma,<1%,39%,26%,12%,23%
Wisconsin,<1%,46%,28%,14%,12%
Kentucky,<1%,47%,28%,11%,14%
Utah,<1%,47%,24%,15%,14%
North Dakota,,31%,38%,16%,15%
Montana,,33%,31%,17%,19%
Idaho,,42%,25%,15%,18%
Alaska,,21%,20%,13%,46%
